filename,status,bytes,sha256,mod_ids,display_names,declared_versions,metadata_note
archers_paradox-1.20.1-5.0.0.17.jar,active_jar,193186,e67f1c2b3bf35ce0ee53f2a62a73231dcbe37a172e54eabe65ee5486a45f5da6,archers_paradox,Archer's Paradox,5.0.0,
architectury-9.2.14-forge.jar,active_jar,580602,218b471d0b8a1f6cda14cfc1beb9eeb0df54304500acc6c5613d9b88ec65d9af,architectury,Architectury,9.2.14,
areaeffectcloud3d-1.0.4.jar,active_jar,15315,be56747d150d32e86768dec08ef67a7b1d3be485beadb96e9a63283c198822c5,areaeffectcloud3d,3D Area Effect Clouds,1.0.4,
ars_botania-1.1.2-all.jar,active_jar,234912,50fcc40adf566eaf88b398981f1e655c48822161b22f6f5bc033b3feb76f9391,ars_botania,Ars Botania,1.1.2,
ars_n_spells-3.3.4.jar,active_jar,2304364,3103f169f92a7d66f79a20c3f4e082e02a38b93034c80d7e9df4053f080b35f6,ars_n_spells,Ars 'n' Spells,3.3.4,
ars_nouveau-1.20.1-4.12.7-all.jar,active_jar,12430237,1f1debc282a0c379c1141f2840ea294eede6f6b544c589663f40bbe17b59a1af,ars_nouveau,Ars Nouveau,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
awesomedungeon-forge-1.20.1-3.2.0.jar,active_jar,414203,7d1504713f1623e75d01d4d986b1b4bcafc4bfd69ab20bf4ae625f8c4da851bd,awesomedungeon,Awesome dungeon,3.2.0,
awesomedungeonnether-forge-1.20.1-3.1.1.jar,active_jar,234660,588f68402bee25f2a0a46783951e8500eff008b40e479f9dab976b48f9aa94c5,awesomedungeonnether,Awesome dungeon nether,3.1.1,
ba_bt-1.20.1-3.0.0-beta3.2.1.jar,active_jar,54453322,df9cbc8b7f657858d1fa823c6eabe1af027e02c0e9b5fdbd5c4398ae97653ed6,ba_bt,Brass-Amber BattleTowers,1.20.1-3.0.0-beta3.2.1,
baguettelib-1.20.1-Forge-2.0.7.jar,active_jar,63126,ee4f97eff5bba00e37ea1ab72608b8fdf65964741eaf29a91b030bc5a80dbc9b,baguettelib,BaguetteLib,2.0.7,
balm-forge-1.20.1-7.3.43.jar,active_jar,561741,1ef7820c2587d2ecee26a8b941427f08bbc1058a8dd376cf45e3fa6df1cba69e,balm,Balm,7.3.43,
bc_particle-0.0.6-forge-1.20.1.jar,active_jar,143121,3a47394a3d3f0c0d29dc6c3ba3b80d98bc9ced1807e4954799e0953a06328791,bc_particle,Better Combat Particle,0.0.6-forge-1.20.1,
BetterBurning-Forge-1.20.1-9.0.3.jar,active_jar,12868,98c46d5bcf264b7f5bae0d641e3a90ad36563bd72247eecb88822f0a9754c85c,betterburning,BetterBurning,9.0.3,
bettercombat-forge-1.9.0+1.20.1.jar,active_jar,1054339,49c69dccf2c641246b4e3deca81ebac21f0ee119e81fc713b838b8e33569eea1,bettercombat,Better Combat,1.9.0+1.20.1,
bettersafebed-forge-1.20-9.jar,active_jar,5853,37e966557d8293919a31cf4304fc8eba134b7207c8c5f198fd14210f5fcda914,bettersafebed,Better Safe Bed,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
BetterThirdPerson-Forge-1.20-1.9.0.jar,active_jar,61525,e8b575996cc5ff40e010161cca8923b8367ce210999da7f00487d4ce0de63755,betterthirdperson,Better Third Person,1.9.0,
BetterTridents-v8.0.1-1.20.1-Forge.jar,active_jar,89292,68d25f31e6061a131caf282b5f7f3d63cb68dbed34c94f71141523a1f207d5cc,bettertridents,Better Tridents,8.0.1,
block_factorys_bosses-2.1.2-forge-1.20.1.jar,active_jar,23963009,8c61087aa483f90861451682519582e03fa76e773d855e35180a8ed3428938bc,block_factorys_bosses,Bosses'Rise,2.1.2,
BoatBreakFix-Universal-1.0.2.jar,active_jar,6866,c3085a8ab45025ff581dbdeba334514611b68d41995cb8685264a595029de969,boatbreakfix,Boat Break Fix,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
BOMD-Forge-1.20.1-1.1.1.jar,active_jar,1751110,4530411d4cd1004f3a6ad248c6bda667c364ee4fd345ceb7a20c947ef093e3be,bosses_of_mass_destruction,Bosses of Mass Destruction,1.1.1,
booklinggear-1.20.1-3.15.jar,active_jar,313787,5d3c24c199e2ee7f086103f49403b918db9488b7690fc53b50bb4c2b9b6e299a,booklinggear,Bookling Gear,3.15,
Botania-1.20.1-456-FORGE.jar,active_jar,12226445,3cf540357c9cb5e460266b17a02617656df6cc7090a565fca2a462b1c3aba4ae,botania,Botania,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
Bountiful-6.0.4+1.20.1-forge.jar,active_jar,502662,ba171d8cf146faa138563b4b7114742e1589fc444fce7503a1779eb80a8a4765,bountiful,Bountiful,6.0.4+1.20.1,
brewchew-1.20.1-5.8.jar,active_jar,874988,b088f9564b41ef84c5d234ab7c5d69d1f60b6619f372612208fa787cf11a3660,brewchew,Brew'n Chew,5.8,
BrewinAndChewin-1.20.1-3.2.1.jar,active_jar,1206255,d06edc7a145e8808903b7bd06e0639458a817fbc4ee589be239c0af77a6367db,brewinandchewin,Brewin' And Chewin',1.20.1-3.2.1,
Brute Force Culling Revived-forge-1.20.1-2.2.jar,active_jar,197657,91c56c84fbdc582788f59d0b8a7f9b3d6023b0ed1676a284e4655b7e60db8958,brute_force_culling_revived,Brute Force Culling Revived,2.2,
burningfurnace-1.20.1-5.2.jar,active_jar,570434,7b87f070840d3707d85da3759851dfe7c29e9640f00bcfb8a550d2a7bcf5fad8,burningfurnace,Burning Furnace,5.2,
burnt_basic-1.10.5-forge-1.20.1.jar,active_jar,21557307,140f311b2edb46421e6257dbf3b75399eec0535e08d60b9a6383037aff383e93,burnt,Burnt Basic,1.10.5,
caelus-forge-3.2.0+1.20.1.jar,active_jar,40125,37495445e79df8b30a3a038a0051f3c8aa8447f91a9d0aa0d20baef69dda9368,caelus,Caelus API,3.2.0+1.20.1,
canary-mc1.20.1-0.3.3.jar,active_jar,594191,51f6d78dd6c7874657e5757fd2f5d780aa3cd415052ad071077b8894c6430942,canary,Canary,0.3.3,
cataclysm_dimension-forge1.20.1-1.5.7.jar,active_jar,196458,f81ddca39df93e66532570514eb19d5ee42fffbda8ad684344cdab7f0ace7802,cataclysm_dimension,Cataclysm Dimension,1.5.7,
cataclysm_rise-1.1.1.jar,active_jar,31403,40dd25e1f96412a9d24afc542c018024a8c70b90dc02f187f458b98873a42c99,cataclysm_rise,Cataclysm's Rise,1.1.1,
cataclysmfortresses-1.20.1-Forge.jar,active_jar,19871,92d6cc2811d51f375e4f751928145edc35222ad6833a3c49e5a9923a4e5cf79a,cataclysmfortresses,Cataclysm x YUNG's Better Nether Fortresses Compat,1.20.1,
CataclysmSummons 1.20.1-1.0.1.jar,active_jar,41167,379d32af6b04c022c08fe62921ae1a65a95deaf5687963a34b5428a68fa6cfdc,cs,Cataclysm Summons,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
CerbonsApi-Forge-1.20.1-1.0.0.jar,active_jar,134593,b764f411ddcf4612b27774166d227d3bc92741e1a89ac0590aa3dbba432ab249,cerbons_api,CerbonsApi,1.0.0,
chatanimation-forge-1.3.3+mc1.20.1.jar,active_jar,1067270,431da94acc595487a27b174c40c15c6e2ccce5a8e9538ed8ee04f2d95eacdca3,chatanimation,ChatAnimation,1.3.3,
chatnotify-forge-2.6.9+1.20.1.jar,active_jar,1020477,9fc70dc75d93a8d5ec675d49525629c89ed26aebe0e23c421f214fd7d4472562,chatnotify,ChatNotify,2.6.9+1.20.1,
chefsdelight-1.0.4-forge-1.20.1.jar,active_jar,98303,c8af30759853f16de8025eaa175526a62fb3c2df705c31f50c7f779942361e00,chefsdelight,Chefs Delight,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
citadel-2.6.3-1.20.1.jar,active_jar,3185275,56c7ab87348a5292583aac787b6cf11b5193e77f02af1d17ea75a96f8640b3ce,citadel,Citadel,2.6.3,
cloth-config-11.1.136-forge.jar,active_jar,1181413,1e895e85cf5b1e1905ef3178ec155c8badfe22a1577b92c09143a5aa1f4ce0f2,cloth_config,Cloth Config v10 API,11.1.136,
cofh_core-1.20.1-11.0.2.56.jar,active_jar,1509649,d7cd3ec8083e294e17cb50fe607b416c1dc83ce885e53ba3995d86e028f790e0,cofh_core,CoFH Core,11.0.2,
collective-1.20.1-8.39.jar,active_jar,745947,594bc5d40f2a3fec1ad95732524f65e01a27ac2abeb9d59889cd9f01fd8db6cb,collective,Collective,8.39,
Controlling-forge-1.20.1-12.0.2.jar,active_jar,115280,516308a93824119f6a1ebc75425aa21ee8f8de0c331942793a054ba6d9c24944,controlling,Controlling,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
coroutil-forge-1.20.1-1.3.7.jar,active_jar,64187,11448808a42c17425cf2ea39701841008683d6ad6e2838a34eef0253251a870f,coroutil,CoroUtil,1.20.1-1.3.7,
corpse-forge-1.20.1-1.0.23.jar,active_jar,245644,8d77c5fc8dc981c750a8e66d4665f055457f748f0ce49a303d9bc50347bdbf7c,corpse,Corpse,1.20.1-1.0.23,
corpsecurioscompat-1.20.1-Forge-3.1.3.jar,active_jar,23655,fd2cb6cf0dc5b66316c265e54e9681883f33d52427e04aded9bf4ef6c20b9fa3,corpsecurioscompat,corpsecurioscompat,3.1.3,
cosmeticarmorreworked-1.20.1-v1a.jar,active_jar,88752,c790e8671625b05ec0aa19272e0ea74ea95619f953e3c6f39a6736af0d386804,cosmeticarmorreworked,CosmeticArmorReworked,1.20.1-v1a,
cosmeticcorpsecompat-1.19.x-1.20.x-Forge-1.0.0.jar,active_jar,9595,21bdce92f3fecbf6c07efd70b3ff81f8d74eb02b14030b9a405b18c7da34d5cd,cosmeticcorpsecompat,Cosmetic Armor x Corpse Compat,1.0.0,
crafty_uncraftables-forge-1.20.1.jar,active_jar,11055,e6703bf9a9383e5379303384b5d5ff560a9ce8a3aebf8c93d986a1c72aa49485,crafty_uncraftables,Crafty Uncraftables (1.20.),1.0.0,
CreativeCore_FORGE_v2.12.39_mc1.20.1.jar,active_jar,1144128,3565ddea132785a044ddfca670610a870c976e52d47a957d0a5f1db78563d046,creativecore,CreativeCore,2.12.39,
creature_compendium-1.3.2.jar,active_jar,1109959,1d1ddba1869922aeab138ca5054b65d1f4dcd000261c449d307b94dc4983aaf3,creature_compendium,Creature Compendium,1.3.1,
creeperoverhaul-3.0.2-forge.jar,active_jar,1456860,212eb2a2d767f54fbfbac2336c63fe2bd1aae4d827ab358da329a746358b6dd9,creeperoverhaul,Creeper Overhaul,3.0.2,
crust-1.20.1-4.17.28.jar,active_jar,1461134,5aa147502f0bd4706025a624419dd00f3f5f2799f72a6305a61159949a341145,crust,Crust,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
culturaldelights-0.16.7.jar,active_jar,267386,b4c587bf5ce53ff6381b7e36b653fab91380b3eb3bcf7bec9c295755433362a3,culturaldelights,Cultural Delights,0.16.6,
cupboard-1.20.1-4.2.jar,active_jar,33422,6a384b880c2429e017f83657438e1fc00d091592cc2860d6d2986094bac5d48f,cupboard,Cupboard utilities,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
curios-forge-5.14.1+1.20.1.jar,active_jar,398066,1e817919a35b37cf30524aaec73f0ca5130452f23f168f844854df282eb8e51f,curios,Curios API,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
curiouslanterns-1.20.1-1.3.7.jar,active_jar,35886,41231ccafb467b76fcf1ddd163925e66366844b190d72d4d36c7133903a25f92,curiouslanterns,Curious Lanterns,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
customvillagertrades-forge-20.25.0.jar,active_jar,55863,fcf5646ff6f65c7d67eb9be0901724f4f2055d35dad1f015395986050c01b7d0,customvillagertrades,Custom Villager Trades,20.25.0,
daily_rewards_1.20.1-5.3.0.jar,active_jar,160797,1fff191dfd9c60afd742f5b7377a7860e1e3aebdb27cdeabf088c261916d3939,daily_rewards,Daily Rewards,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
DailyBoss-1.20.1-1.8.jar,active_jar,7142861,28445d77d6c3fe59abf9dfcdadd29ea0c89816967c1bf20423e1a86d537e21c7,pladailyboss,Daily Boss,1.8,
DailyBoss-BossesofMassDestruction-1.20.1-1.0.jar,active_jar,10383157,573ed3a56ddd72dc556af47d9a79d86ad85d4cbb7c2be05f0d5d7c351099bfe1,dailyboss_bosses_of_mass_destruction,Daily Boss x Bosses of Mass Destruction,1.0,
DailyBoss-BossesRise-1.20.1-1.1.jar,active_jar,14584975,c48ec2cc5759be8a2c01e11b9296d415936b4a5bfbab5b97bd4277fb89024657,dailyboss_bosses_rise,Daily Boss x Bosses Rise,1.1,
DailyBoss-Cataclysm-1.20.1-1.1.jar,active_jar,27293344,034301100fcc011d502281f27deb6481bab11d07e345a7304915cca91fb0e941,dailyboss_cataclysm,Daily Boss x L_Ender 's Cataclysm,1.1,
dotcoinmod-forge-20.18.1.jar,active_jar,103980,59c1a2f71c3a8ec3ac7ed68cbaead33a6e06f42c8e7f43aa17e1f2d30de018ee,dotcoinmod,Dot Coin Mod,20.18.1,
DragNs_Livestock_Overhaul-1.20.1-3.9.4.jar,active_jar,8036687,ef44c0071a3133bf9a0b6275e7829f170787abc28b86f68b6f495be720b62a5f,dragnlivestock,DragN's Livestock Overhaul!,3.9,
DragNs_Pet_Overhaul-1.20.1-2.1.jar,active_jar,1148110,31caae96aa457e8a39078c150ff5966b188427a0d7462157f14c14c7ea6fd83a,dragnpets,DragN's Livestock Overhaul: Pets Addon!,2.1,
Dungeon-Realm-1.20.1-1.1.16.jar,active_jar,4278094,f560e6e387fe6cb22dd8937d775b59e794f0cf24d5d67628fe0e3f12c02f75e8,dungeon_realm,Dungeon Realm,1.1.16,
dungeons-and-taverns-3.0.3.f[Forge].jar,active_jar,13161907,251b531ff2882c61a4c2eba3bd7b1683aa22b6c2d459e27bfde04a2948c99e1e,mr_dungeons_andtaverns,Dungeons and Taverns,3.0.3.f,
dungeons-and-taverns-ancient-city-overhaul-1 [Forge].jar,active_jar,691038,74e6e1f495a92ab6c2bb15d3df611cc19ff591fc7bab5a50b5159b9fb1e90fd7,mr_dungeons_andtavernsancientcityoverhaul,Dungeons and Taverns Ancient City Overhaul,1,
dungeons-and-taverns-pillager-outpost-rework-1.1 [Forge].jar,active_jar,483330,7235cd1a473a565cf1c0d5f098233e8de68068924322d6faccde47bb14346135,mr_dungeons_andtavernspillageroutpostrework,Dungeons and Taverns Pillager Outpost Rework,1.1,
dungeons-and-taverns-swamp-hut-rework-1 [Forge].jar,active_jar,191077,a14222bf03c82768ced71a6e5ef7abb436d5ae3cddb816dab171996b694d2762,mr_dungeons_andtavernsswamphutrework,Dungeons and Taverns Swamp Hut Rework,1,
DungeonsArise-1.20.x-2.1.58-release.jar,active_jar,8762342,f8f1254dbe7ed7c1d5403f20361a36f0d0587c82b71313e3f427c7f1ce7c8a90,dungeons_arise,When Dungeons Arise,2.1.58-1.20.x,
DungeonsAriseSevenSeas-1.20.x-1.0.2-forge.jar,active_jar,248169,4d8b2ee057d08cf13be96d05a08fc933e835d6c36395c692662871d4a1319be2,dungeons_arise_seven_seas,When Dungeons Arise: Seven Seas,1.0.2,
dynamicvillagertrades-1.3.1-forge-1.20.jar,active_jar,272294,c2470be504b6851ab279131cc35362c51c9cce3dd3fd9950aa9585a69fa990d3,dynamicvillagertrades,Dynamic Villager Trades,1.3.1,
EasyAnvils-v8.0.2-1.20.1-Forge.jar,active_jar,141744,a08b641e6cc1d4867e0878826ac4fb9e55b45907d0fa3429172ecad8cd678ce9,easyanvils,Easy Anvils,8.0.2,
easyelytratakeoff-1.20.1-4.5.jar,active_jar,29913,c282e14624cf80284779350120db58ef7695c9891ebe6842ca5dee32774562b6,easyelytratakeoff,Easy Elytra Takeoff,4.5,
EasyMagic-v8.0.1-1.20.1-Forge.jar,active_jar,115947,235a2b0be24bc83a89253e0ee4fc973abfc7cc7caed0fdd698dd139ba91ec367,easymagic,Easy Magic,8.0.1,
easynetheritev1.jar,active_jar,394849,3bfc899e3a80ded9d230f02524665e66d03cf5e33219b768d45e6c94dae3f1c8,easy_netherite,Easy Netherite,1.0.0,
EasyShulkerBoxes-v8.0.2-1.20.1-Forge.jar,active_jar,581742,721a68a7a59183cbb45a0b1b549ac8b2855e46b0ff95e58e7d203dd713551831,easyshulkerboxes,Easy Shulker Boxes,8.0.2,
effectual-forge-1.4.1-1.20.1.jar,active_jar,322683,23fa9a27afa26a90dd37a5cf69df2fe71281b2ca1ba1d98b2f8917d08d908ce6,effectual,Effectual,1.4.1-1.20.1,
ElysiumAPI-1.20.1-1.1.3.jar,active_jar,107624,807095e7df50d25d400d07ed8bccca7ab12ea5a28cb8a99e077750ebbb8df765,elysium_api,Elysium,1.1.3,
embeddium-0.3.31+mc1.20.1.jar,active_jar,1320675,eed3d1325f2acc2fd4e69bb495e5ccb91d962126ac5330f0582ebc2a3daf47fb,embeddium; rubidium,Embeddium; Rubidium (Embeddium),0.3.31+mc1.20.1; 0.7.1,
end_remastered_promax-1.1.1-xian.jar,active_jar,239214,51cf59313b6accc867ddff317c40e67991892d320d7ab4c0e02824eceab0e861,end_remastered_promax,End Remastered ProMax,1.0-SNAPSHOT,
endrem_forge-5.3.3-R-1.20.1.jar,active_jar,889634,19295ca4a798f2e813f359fa376f586bc57fadacd78b7e32440257f9f8bf2557,endrem,End Remastered,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
EnhancedVisuals_FORGE_v1.8.33_mc1.20.1.jar,active_jar,4728528,432a9e565e94ff3e1ecbd1ea00b387eac1d49c06dd61646a92e5fce65fdc5c23,enhancedvisuals,EnhancedVisuals,1.8.33,
expanded_experience-2.1.0-forge-1.20.1.jar,active_jar,150256,fa22e34553dc7797609bbfb18df7b43a2506bd71e3a213ecf09060061613f317,expanded_experience,Expanded Experience,2.1.0,
ExtraBounties-universal.jar,active_jar,276729,f220af555bc7b5922b83ba67062e6f0428435a1c613d44e77f5fdb6eb3314674,extrabounties,ExtraBounties,2.1,
extragore-1.20.1-5.2.3.1.jar,active_jar,49559,c3d2547819d06deb51906e1abf7bf44e229f1d6e1dad274fa1c9ea1fe3950632,extragore,Extra Gore,5.2.3.1,
ExtraLib-3.1.1-1.20.1-Forge.jar,active_jar,7974991,534829d144788e615a3dcfad9f245e924e6f5d2eca3bcb6411dce77fa3c2300e,extralib,ExtraLib,3.1.1,
fabric-api-0.92.6+1.11.15+1.20.1.jar,active_jar,3065815,ffb61c81b9025297048fd647902f4c67c016073c0e94da100125e9aa1168c194,fabric_api,Forgified Fabric API,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
fallen_lib-1.4.6.jar,active_jar,320263,40cdff724ad46ef9ec65cdfad6edb054b9bdc285d87a78ec496c9c33b057f210,fallen_lib,Fallen Lib,1.4.6,
FancyBlockParticles-1.20.1-forge-20.1.6.0.jar,active_jar,495691,40a125110eb14ecca6f9205e32b84c4a8e16fb2c03eff2dc064700324d5cbf20,fbp,FancyBlockParticles,20.1.6.0,
fancymenu_forge_3.9.12_MC_1.20.1.jar,active_jar,26181250,60aa6a94e0c021c989bbea978ea6a233ac2e23e364f15825a8beb7b5ab0b94cf,fancymenu,FancyMenu,3.9.12,
farmers-cutting-regions-unexplored-1.20.1-1.1b-forge.jar,active_jar,102094,6aa3b50e5e7e893d4f9733ba386226d750296f82f9bbb011278cbb26f8eafd38,mr_farmers_cuttingregionsunexplored,Farmer's Cutting: Regions Unexplored,1.20.1-1.1b-forge,
FarmersDelight-1.20.1-1.3.4.jar,active_jar,3311051,34f03eb671ea1ca579b00c98e4541404cb96d1a292014aed9cc5eb45ad8afbce,farmersdelight,Farmer's Delight,1.20.1-1.3.4,
farmersdragn-1.1.jar,active_jar,91569,3e72c0931818f8aceaf7c6362d48a65683aab2a02f829983a6720b61fa4d5188,farmersdragn,Farmer's DragN,1.1,
FastSuite-1.20.1-5.1.2.jar,active_jar,26600,5e05cb3ce05785a0061a41b7a83443074a6c26dd7d9db75c453fa2487481d54e,fastsuite,Fast Suite,5.1.2,
ferritecore-6.0.1-forge.jar,active_jar,123034,9c2c9396a49e796d88497758caa4637d2bcbb433c318e2dd9cebcffbaf0f6c54,ferritecore,Ferrite Core,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
FireSticks+V.1.5+[1.20.1][FORGE].jar,active_jar,16015,217a5ad3ea023fd05a5004d7bef6a1b38f48c54bdd13ba94f6a3a72398601396,survival_firesticks,Survival Firesticks,1.0.0,
firstperson-forge-2.7.2-mc1.20.1.jar,active_jar,1800545,1ea260b6475ba8148a20a6d18a11f7e20313a5abf6764b981923400ab61c9f9a,firstperson,FirstPerson,2.7.2,
forge-medievalend-1.0.1.jar,active_jar,169369,f65d1a3defd3d9d56d498ee79b6eeda8ec91193e6c2f989581e23f8069f4499f,medievalend,Medieval Buildings [The End Edition],1.0.1,
fragmentum-5.0.0+1.20.1-forge.jar,active_jar,7947567,b7c2369a09f80a8eeb119bd79a6cd9da6a1c656ad67a56afab446b413d2ed1a8,fragmentum,Fragmentum,5.0.0,
fruitsdelight-1.1.3.jar,active_jar,1895935,ad136ea910d1b09bab90425168f64d841ea4f57d49f8a616da9882c7d6d8aec1,fruitsdelight,Fruits Delight,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
ftb-library-forge-2001.2.13.jar,active_jar,780558,41810281b65336265cae2c88412022d02f2f0a3f28c66a06173d86f98acf14a7,ftblibrary,FTB Library,2001.2.13,
ftb-teams-forge-2001.3.2.jar,active_jar,252579,b1cb4d82ea9f137a87e12a7aaf3329619294b56f7d70337dfd557a76e10b6e07,ftbteams,FTB Teams,2001.3.2,
fzzy_config-0.7.7+1.20.1+forge.jar,active_jar,2397175,c4acf6fd3ce66ff28050dd9fdbff25c407f98a4911311ff3f59d651acccc9575,fzzy_config,Fzzy Config,0.7.7+1.20.1+forge,
geckolib-forge-1.20.1-4.8.4.jar,active_jar,1038209,c04abba4fd354dd8c0e8a732f1f05f4dca893d2e1d962b2ab128bbd411478747,geckolib,GeckoLib 4,4.8.4,
GlitchCore-forge-1.20.1-0.0.1.1.jar,active_jar,87550,e42a8b513da08a910c133caeafad9fc2fcc22fdaaa2eb3e2516e9112a5a0db61,glitchcore,GlitchCore,0.0.1.1,
guidetome-1.0.2.jar,active_jar,241003,b08f005f4efbaaaa2659ec8a6448c7d6d6ee6c95b51dc74a1b0b355df78e0482,guidetome,Guide Tome,1.0.2,
hardcore_torches-1.20.1-x.jar,active_jar,237192,f75b9b688ab3e2909f86d546ae134f4472118f451eac836d1fccb9326289643e,hardcore_torches,Hardcore Torches,1.20.1-x,
HotVP-forge-1.20.1.jar,active_jar,93671,c4dedab0ff364b93ec817ec4b11d770424a7697d40a6478017e631d118fdcfa3,hero_of_the_village,Hero of the Village +,1.0.0,
Iceberg-1.20.1-forge-1.1.25.jar,active_jar,134551,91ad6b459e0c7a16a9f3dc90230248a696600ceec6646aa23263559b8648dbc3,iceberg,Iceberg,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
ImmersiveUI-FORGE-0.3.0.jar,active_jar,401514,7295ae6681b178ed633e951b1f4478d15b2ed7b13836038caf7d3c9427fff1ff,immersiveui,ImmersiveUI,0.3.0,
improved-village-placement-1.1.2.jar,active_jar,34332,2d0a4d6e8c70ae342597b5d51e528c2c505658d741ba99852e16e930f186d638,improved_village_placement,Improved Village Placement,1.1.2,
incontrol-1.20-9.5.0.jar,active_jar,371650,c2c52bb32819dc8723f11c34099023fb08ab4f48d21d26eeadf671893465bf66,incontrol,InControl,${file.jarVersion},Unresolved metadata placeholder; use filename and hash; not a runtime version claim.
insanelib-1.23.4.6.jar,active_jar,369931,cadc3902d8bb6d454f6b5039381da3995220640a1945b65400a2a16f4052a318,insanelib,InsaneLib,1.23.4.6,
